id,Predicted
592380,0.47616726
592381,0.3241764
592382,0.34485453
592383,0.47616726
592384,0.40569982
592385,0.34475496
592386,0.4268558
592387,0.44268864
592388,0.32890913
592389,0.3494129
592390,0.41285378
592391,0.33853337
592392,0.47616726
592393,0.47616726
592394,0.4685858
592395,0.47616726
592396,0.47616726
592397,0.3331092
592398,0.47616726
592399,0.47616726
592400,0.33287194
592401,0.4675915
592402,0.47616726
592403,0.47616726
592404,0.44526395
592405,0.46855146
592406,0.33060864
592407,0.47616726
592408,0.40304822
592409,0.34671554
592410,0.4030007
592411,0.47004473
592412,0.3262284
592413,0.42711002
592414,0.33345166
592415,0.45689267
592416,0.4425958
592417,0.47616726
592418,0.47616726
592419,0.44921958
592420,0.3242903
592421,0.44765776
592422,0.3451509
592423,0.38250747
592424,0.42513567
592425,0.47616726
592426,0.47616726
592427,0.43921843
592428,0.47616726
592429,0.38575223
592430,0.34327167
592431,0.47616726
592432,0.47616726
592433,0.4571605
592434,0.33532315
592435,0.46558693
592436,0.47616726
592437,0.42079824
592438,0.4657713
592439,0.47616726
592440,0.3781004
592441,0.447553
592442,0.47616726
592443,0.4659562
592444,0.33560532
592445,0.34310997
592446,0.35198376
592447,0.2813287
592448,0.32520357
592449,0.47616726
592450,0.47246534
592451,0.33047408
592452,0.47616726
592453,0.47616726
592454,0.33980832
592455,0.46829563
592456,0.34359232
592457,0.33792278
592458,0.34922883
592459,0.36208886
592460,0.34398884
592461,0.425123
592462,0.34556988
592463,0.47616726
592464,0.47616726
592465,0.32128936
592466,0.32567394
592467,0.32481992
592468,0.47616726
592469,0.32530934
592470,0.29546067
592471,0.19807144
592472,0.47616726
592473,0.32072788
592474,0.47616726
592475,0.4220081
592476,0.4447134
592477,0.45359415
592478,0.47616726
592479,0.45307156
592480,0.47616726
592481,0.47616726
592482,0.43135664
592483,0.4179099
592484,0.32599643
592485,0.33612007
592486,0.31093156
592487,0.47616726
592488,0.47616726
592489,0.42720833
592490,0.47410515
592491,0.42835003
592492,0.28596386
592493,0.43616086
592494,0.41292623
592495,0.4540605
592496,0.45904708
592497,0.35741323
592498,0.47616726
592499,0.47616726
592500,0.40334943
592501,0.34042963
592502,0.33689022
592503,0.26458988
592504,0.47616726
592505,0.45580217
592506,0.30789778
592507,0.3082127
592508,0.47616726
592509,0.28016773
592510,0.25964957
592511,0.34634158
592512,0.47616726
592513,0.4012539
592514,0.41338268
592515,0.34927386
592516,0.3382566
592517,0.14712551
592518,0.47592402
592519,0.47616726
592520,0.3350592
592521,0.47616726
592522,0.47616726
592523,0.33619693
592524,0.47616726
592525,0.29221636
592526,0.36003053
592527,0.3183055
592528,0.31216702
592529,0.41275212
592530,0.47616726
592531,0.47616726
592532,0.44688377
592533,0.31919515
592534,0.47616726
592535,0.3317437
592536,0.3789406
592537,0.47616726
592538,0.38431835
592539,0.47616726
592540,0.19664648
592541,0.36563757
592542,0.47616726
592543,0.4551291
592544,0.2751302
592545,0.47616726
592546,0.4685007
592547,0.4769897
592548,0.36667812
592549,0.47616726
592550,0.29541
592551,0.47616726
592552,0.47616726
592553,0.42592975
592554,0.34472758
592555,0.3128894
592556,0.47616726
592557,0.40838543
592558,0.40658295
592559,0.40864825
592560,0.47616726
592561,0.47616726
592562,0.47616726
592563,0.4207061
592564,0.47616726
592565,0.4139748
592566,0.47616726
592567,0.37752444
592568,0.33205807
592569,0.3860767
592570,0.47616726
592571,0.33241785
592572,0.47616726
592573,0.21514346
592574,0.47616726
592575,0.33098817
592576,0.31903923
592577,0.34576195
592578,0.47616726
592579,0.3209457
592580,0.36979657
592581,0.20369427
592582,0.33727887
592583,0.47616726
592584,0.4269936
592585,0.47462383
592586,0.47616726
592587,0.25253212
592588,0.29722327
592589,0.31416702
592590,0.47616726
592591,0.47616726
592592,0.3855059
592593,0.42305043
592594,0.47616726
592595,0.36293736
592596,0.28482977
592597,0.31714576
592598,0.37652892
592599,0.392566
592600,0.29545996
592601,0.388515
592602,0.38933584
592603,0.33789212
592604,0.42903966
592605,0.41391423
592606,0.3437287
592607,0.47616726
592608,0.42472047
592609,0.43934986
592610,0.47616726
592611,0.28585994
592612,0.24760115
592613,0.32378712
592614,0.47616726
592615,0.47616726
592616,0.34748068
592617,0.44070444
592618,0.32671207
592619,0.30525774
592620,0.4237909
592621,0.31244713
592622,0.31219053
592623,0.47616726
592624,0.40908998
592625,0.2796004
592626,0.38242817
592627,0.34027192
592628,0.28052893
592629,0.2999742
592630,0.2803453
592631,0.44383526
592632,0.47616726
592633,0.36410797
592634,0.2684738
592635,0.31054166
592636,0.36475876
592637,0.38345167
592638,0.4205015
592639,0.46100676
592640,0.47616726
592641,0.33066437
592642,0.36316612
592643,0.47616726
592644,0.3860995
592645,0.33468217
592646,0.48205015
592647,0.47616726
592648,0.45743436
592649,0.31621626
592650,0.47616726
592651,0.47616726
592652,0.41034687
592653,0.33786196
592654,0.47616726
592655,0.3554411
592656,0.47616726
592657,0.47616726
592658,0.31799924
592659,0.05076088
592660,0.3477686
592661,0.35037407
592662,0.34156778
592663,0.26341474
592664,0.47616726
592665,0.31757304
592666,0.44791424
592667,0.47616726
592668,0.47616726
592669,0.35241446
592670,0.47454453
592671,0.28087527
592672,0.45244515
592673,0.213904
592674,0.47616726
592675,0.3701151
592676,0.45167193
592677,0.33261576
592678,0.28228438
592679,0.3149784
592680,0.36050692
592681,0.34225726
592682,0.3468549
592683,0.47278482
592684,0.3725257
592685,0.33534253
592686,0.47616726
592687,0.47616726
592688,0.32568642
592689,0.47616726
592690,0.47616726
592691,0.35698187
592692,0.40179455
